wall_time,split,epoch,step,lr,total,pep_coord,mhc_coord,torsion,plddt,pep_plddt,pep_ca_rmsd,mhc_ca_rmsd
1782052373.216842,train,17,50,0.0001669056146490688,0.1683768928050995,0.08123809844255447,0.1982681155204773,0.07481208443641663,0.0016571760643273592,0.008416284807026386,,
1782052405.360088,train,17,100,0.0001668981679906304,0.31044262647628784,0.19631242752075195,0.31104761362075806,0.0724295899271965,0.0015350169269368052,0.01068396121263504,,
1782052437.2362833,train,17,150,0.00016689072066065086,0.3559350073337555,0.246791809797287,0.302502304315567,0.06676812469959259,0.001335785025730729,0.0069211325608193874,,
1782052462.2558715,train,17,200,0.00016688327265920491,0.3706705868244171,0.25372034311294556,0.31803029775619507,0.07459095865488052,0.0014715376310050488,0.007420971058309078,,
1782052481.7445736,train,17,250,0.00016687582398636718,0.3767077624797821,0.24860890209674835,0.37482520937919617,0.0684584453701973,0.0016333985840901732,0.006832090672105551,,
1782052499.2844017,train,17,300,0.00016686837464221263,0.34228262305259705,0.22789207100868225,0.3266097605228424,0.06524142622947693,0.0011739929905161262,0.0057111564092338085,,
1782052515.0375092,train,17,350,0.0001668609246268161,0.2694271504878998,0.17632520198822021,0.22474166750907898,0.07358366250991821,0.0012468331260606647,0.008340311236679554,,
1782052529.2635925,train,17,400,0.00016685347394025215,0.272786408662796,0.16918274760246277,0.27440744638442993,0.06958212703466415,0.002107256790623069,0.012345598079264164,,
1782052541.964819,train,17,450,0.00016684602258259555,0.4113978147506714,0.2769092917442322,0.4057576060295105,0.06567519903182983,0.0021149280946701765,0.007418196648359299,,
1782052553.9017358,train,17,500,0.00016683857055392135,0.28365394473075867,0.1747303605079651,0.2916681170463562,0.07172676175832748,0.0014317857567220926,0.008008786477148533,,
1782052564.9009743,train,17,550,0.00016683111785430419,0.22266589105129242,0.12678077816963196,0.24753861129283905,0.06773174554109573,0.001345801167190075,0.006645622197538614,,
1782052575.5507374,train,17,600,0.00016682366448381888,0.20549748837947845,0.11869002133607864,0.21902072429656982,0.0637889876961708,0.0015780454268679023,0.007593614049255848,,
1782052586.170984,train,17,650,0.00016681621044254018,0.17687451839447021,0.08219817280769348,0.2401021271944046,0.06904849410057068,0.0012657662155106664,0.006954474374651909,,
1782052595.9797354,train,17,700,0.00016680875573054298,0.27977821230888367,0.17210696637630463,0.2790721356868744,0.0755390152335167,0.0013371700188145041,0.007097880821675062,,
1782052606.0829067,train,17,750,0.00016680130034790223,0.2975892722606659,0.20767132937908173,0.23147675395011902,0.06389492750167847,0.0010131074814125896,0.00621419120579958,,
1782052615.810369,train,17,800,0.00016679384429469252,0.25857698917388916,0.1515013873577118,0.27251744270324707,0.077612966299057,0.001397593878209591,0.007272989023476839,,
1782052625.3347669,train,17,850,0.00016678638757098893,0.2471754401922226,0.16315899789333344,0.20445431768894196,0.06561198830604553,0.0009687215788289905,0.0072745708748698235,,
1782052635.1159866,train,17,900,0.00016677893017686638,0.23464594781398773,0.13472633063793182,0.2595016658306122,0.06979427486658096,0.0014707858208566904,0.006126845255494118,,
1782052644.7357645,train,17,950,0.00016677147211239938,0.2264898717403412,0.11065836250782013,0.30537378787994385,0.07869762927293777,0.0013924897648394108,0.007915301248431206,,
1782052654.2387373,train,17,1000,0.00016676401337766293,0.24084718525409698,0.15277045965194702,0.2159072458744049,0.06797084212303162,0.0011449801968410611,0.007073665969073772,,
1782052663.8150687,train,17,1050,0.00016675655397273205,0.24160359799861908,0.14125943183898926,0.2698546350002289,0.06548312306404114,0.0013893460854887962,0.007105756551027298,,
1782052673.3947647,train,17,1100,0.00016674909389768162,0.43626710772514343,0.32592013478279114,0.3099871575832367,0.06544525921344757,0.0012756315991282463,0.006454498041421175,,
1782052682.9111366,train,17,1150,0.0001667416331525864,0.1535162329673767,0.07711296528577805,0.16920067369937897,0.0679902732372284,0.0010795920388773084,0.0061560277827084064,,
1782052692.430969,train,17,1200,0.00016673417173752124,0.28918856382369995,0.18773409724235535,0.2721611261367798,0.06656668335199356,0.0013082658406347036,0.005534358788281679,,
1782052701.9782374,train,17,1250,0.00016672670965256129,0.33791443705558777,0.22755961120128632,0.29791709780693054,0.07153607159852982,0.0010752659291028976,0.00587884709239006,,
1782052711.4996564,train,17,1300,0.00016671924689778118,0.4054263234138489,0.30039286613464355,0.2879845201969147,0.06575457006692886,0.001600485062226653,0.006269735749810934,,
1782052720.9112117,train,17,1350,0.000166711783473256,0.3584541082382202,0.25620922446250916,0.2642412781715393,0.07214288413524628,0.001131092314608395,0.006709998473525047,,
1782052730.4288814,train,17,1400,0.00016670431937906057,0.4304717481136322,0.29334601759910583,0.3968540132045746,0.07558024674654007,0.0012209935812279582,0.006232052110135555,,
1782052739.9866345,train,17,1450,0.0001666968546152699,0.2998562455177307,0.19125550985336304,0.29664289951324463,0.06864678114652634,0.0011662308825179935,0.005244203377515078,,
1782052749.5241997,train,17,1500,0.00016668938918195877,0.3305801451206207,0.2257094830274582,0.27495506405830383,0.0720563530921936,0.0010369948577135801,0.0057256100699305534,,
1782052759.007868,train,17,1550,0.00016668192307920236,0.28022241592407227,0.1744057685136795,0.2691440284252167,0.07677215337753296,0.0014456800417974591,0.008731558918952942,,
1782052768.5500882,train,17,1600,0.00016667445630707541,0.2701234817504883,0.1533094197511673,0.3142543137073517,0.07617814838886261,0.0016140802763402462,0.006681900005787611,,
1782052778.0580823,train,17,1650,0.00016666698886565282,0.3620716333389282,0.24858099222183228,0.29995405673980713,0.07662195712327957,0.0019113916205242276,0.008850347250699997,,
1782052787.5313416,train,17,1700,0.00016665952075500972,0.32796719670295715,0.21427570283412933,0.3174780309200287,0.06838768720626831,0.0012814602814614773,0.006869620643556118,,
